key,BR,DE,EE,EN,ES LATAM,ES,FR,IT,JA,KO,PL,PT,RU,TR,UA,ZHS,ZHT
PORTUGUESE_PORTUGAL,PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL)
THE NIGHT,A NOITE É UMA CRIANÇA.,DIE NACHT IST NOCH JUNG.,ÖÖ ON NOOR.,THE NIGHT IS YOUNG.,LA NOCHE ES JOVEN.,LA NOCHE ES JOVEN.,LA NUIT NE FAIT QUE COMMENCER.,LA NOTTE È GIOVANE.,夜はこれからだ,아직 밤은 이르다고.,NOC JEST JESZCZE MŁODA.,A NOITE É UMA CRIANÇA.,НОЧЬ ТОЛЬКО НАЧАЛАСЬ.,GECE DAHA YENİ BAŞLIYOR.,УСЯ НІЧ ПОПЕРЕДУ.,夜色尚早,夜色尚早
NO SPACE,SEM ESPAÇO.,KEIN PLATZ MEHR.,RUUMI POLE.,OUT OF SPACE.,NO TE QUEDA ESPACIO.,NO TE QUEDA ESPACIO.,PLUS DE PLACE.,SPAZIO INSUFFICIENTE.,空いてないぞ,공간이 없군.,BRAK MIEJSCA.,SEM ESPAÇO.,НЕТ МЕСТА.,YERİN KALMAMIŞ,НЕМАЄ МІСЦЯ.,空间不足,空間不足
LIVEROUNDS,%s MUNIÇÕES REAIS.,%s SCHARFE MUNITION.,%s TERAVAT.,%s LIVE ROUNDS.,%s BALAS CARGADAS.,%s BALAS CARGADAS.,%s CARTOUCHES RÉELLES.,%s PROIETTILI VERI.,実包 %s 発,%s 실탄이야.,%s OSTRE NABOJE.,%s MUNIÇÕES REAIS.,%s БОЕВЫХ.,%s GERÇEK FİŞEK,%s БОЙОВИХ.,%s 实弹,%s 實彈
PLAYERWIN,%s GANHOU!,%s GEWINNT!,%s VÕITIS!,%s WINS!,¡%s GANA!,¡%s GANA!,%s GAGNE !,VINCE %s!,%s勝利！,%s 승리!,%s WYGRYWA!,%s GANHOU!,%s ПОБЕЖДАЕТ!,%s GALİBİYET!,%s ПЕРЕМАГАЄ!,%s 获胜！,%s 獲勝！
ITEMS EACH,%s ITENS CADA.,%s GEGENSTÄNDE JEWEILS.,%s ASJA MÕLEMALE.,%s ITEMS EACH.,%s OBJETOS PARA LOS DOS.,%s OBJETOS CADA UNO.,%s OBJETS CHACUN.,%s UNITÀ DI OGGETTI CIASCUNO.,互いに道具 %s つ,%s 개씩 아이템을 받는 거야.,%s PRZEDMIOTY(ÓW) KAŻDY.,%s ITENS CADA.,%s ПРЕДМ. КАЖДОМУ.,%s HER BİRİNE VERİLEN ÖĞE.,%s ПРЕДМЕТИ КОЖНОМУ.,每人 %s 件道具,每人 %s 件道具
CHINESE_SIMPLIFIED,简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED)
DEALER,DEALER,GEBER,DIILER,DEALER,DEALER,REPARTIDOR,DONNEUR,BANCO,ディーラー,딜러,KRUPIER,DEALER,ДИЛЕР,KURPİYER,КРУПʼЄ,庄家,莊家
KOREAN,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어
ML DRANK,ML DE CERVEJA BEBIDOS,ML BIER GETRUNKEN,ML ÕLU JOODUD .....,ML OF BEER DRANK ...,ML DE CERVEZA BEBIDOS .,ML DE CERVEZA BEBIDOS,ML DE BIÈRE BUS,ML DI BIRRA BEVUTI,飲酒量（ＭＬ）……,마신 맥주의 양,ML WYPITEGO PIWA,ML DE CERVEJA BEBIDOS ..,ВЫПИТО ПИВА В МЛ ....,ML BİRA İÇİLDİ,"ВИПИТО ПИВА, МЛ",喝掉的啤酒毫升数,喝掉的啤酒毫升數
DEAD,VOCÊ MORREU,DU BIST TOT,SA OLED SURNUD,YOU ARE DEAD,HAS MUERTO,HAS MUERTO,VOUS AVEZ PÉRI,SEI MORTO,死亡,사망,NIE ŻYJESZ,MORREU,ВЫ МЕРТВЫ,SEN ÖLDÜN,ВИ МЕРТВІ,你死了,你死了
PHONE,TELEFONE DESCARTÁVEL,BURNER-TELEFON,ÜHEKORDNE TELEFON,BURNER PHONE,TELÉFONO QUEMADOR,TELÉFONO DE PREPAGO,PORTABLE PRÉPAYÉ,TELEFONO USA E GETTA,使い捨て携帯,대포폰,JEDNORAZOWY TELEFON,TELEFONE DESCARTÁVEL,ОДНОРАЗОВЫЙ ТЕЛЕФОН,YAKICI TELEFON,ОДНОРАЗОВИЙ ТЕЛЕФОН,一次性手机,一次性手機
SELECT,SELECIONAR,AUSWÄHLEN,VALI,SELECT,SELECCIONAR,SELECCIONAR,SÉLECTIONNER,SELEZIONA,決定,선택,WYBIERZ,SELECIONAR,ВЫБРАТЬ,SEÇENEKLER,ВИБРАТИ,选择,選擇
MEDICINE,REMÉDIO EXPIRADO,ABGELAUFENE MEDIKAMENTE,AEGUNUD RAVIM,EXPIRED MEDICINE,MEDICINA VENCIDA,MEDICINA CADUCADA,MÉDICAMENT PÉRIMÉ,MEDICINA SCADUTA,期限切れ薬,상한 약,PRZETERMINOWANY LEK,REMÉDIO EXPIRADO,ПРОСРОЧЕННОЕ ЛЕКАРСТВО,SON KULLANMA TARİHİ GEÇMİŞ İLAÇ,ПРОСТРОЧЕНІ ЛІКИ,过期药品,過期藥品
INTERESTING,MUITO INTERESSANTE ...,SEHR INTERESSANT ...,VÄGA HUVITAV ...,VERY INTERESTING ...,MUY INTERESANTE...,MUY INTERESANTE...,TRÈS INTÉRESSANT…,MOLTO INTERESSANTE...,なるほどな……,아주 재미있군...,BARDZO INTERESUJĄCE...,MUITO INTERESSANTE ...,ОЧЕНЬ ЛЮБОПЫТНО...,ÇOK İLGİNÇ...,ДУЖЕ ЦІКАВО…,真有意思……,真有意思……
ADRENALINE DESC,"ROUBA UM ITEM E
O USA IMEDIATAMENTE.","STIEHL EINEN GEGENSTAND UND
BENUTZE IHN SOFORT.","VARASTA DIILERILT ASI JA
KASUTA SEDA KOHE.","STEAL AN ITEM AND
USE IT IMMEDIATELY.","ROBAS UN OBJETO Y
LO USAS DE INMEDIATO.","ROBAS UN OBJETO Y
LO USAS DE INMEDIATO.","VOLEZ UN OBJET ET
UTILISEZ-LE IMMÉDIATEMENT.","RUBA UN OGGETTO
E USALO IMMEDIATAMENTE.","アイテム 1 つ盗み
即時使用","아이템을 훔쳐
 즉시 사용합니다.","UKRADNIJ PRZEDMIOT
I NATYCHMIAST GO UŻYJ.","ROUBAR UM ITEM E
USE-O IMEDIATAMENTE.","УКРАДИТЕ ПРЕДМЕТ И
СРАЗУ ЖЕ ЕГО ИСПОЛЬЗУЙТЕ.","BİR ÖĞE ÇAL VE
HEMEN KULLAN","УКРАДІТЬ ПРЕДМЕТ І
ВІДРАЗУ ЇМ СКОРИСТАЙТЕСЬ.","偷窃一件道具
 并立即使用","偷竊一件道具
 並立即使用"
SHOTS FIRED,TIROS DISPARADOS,SCHÜSSE ABGEFEUERT,LASKE TULISTATUD ..,SHOTS FIRED ........,TIROS DISPARADOS ......,DISPAROS REALIZADOS,COUPS TIRÉS,COLPI SPARATI,発砲数………………,탄 발사 수,WYSTRZELONE POCISKI,TIROS DISPARADOS .......,СДЕЛАНО ВЫСТРЕЛОВ ....,ATIŞLAR YAPILDI,ЗРОБЛЕНО ПОСТРІЛІВ,发射的子弹,發射的子彈
NO,NÃO,NEIN,EI,NO,NO,NO,NON,NO,いいえ,아니요,NIE,NÃO,НЕТ,HAYIR,НІ,否,否
MORE INTERESTING,"VAMOS DEIXAR ISSO UM POUCO
MAIS INTERESSANTE...","MACHEN WIR DIE SACHE EIN
BISSCHEN INTERESSANTER ...","TEEME SELLE NATUKE
HUVITAVAMAKS ...","LET'S MAKE THIS A LITTLE
MORE INTERESTING ...","HAGAMOS QUE ESTO SEA UN
POCO MÁS INTERESANTE...","HAGAMOS QUE ESTO SEA UN POCO
MÁS INTERESANTE...","FAISONS UN PEU MONTER
LES ENCHÈRES…","RENDIAMO IL TUTTO
UN PO' PIÙ INTERESSANTE...",もっと楽しもうか……,"이번엔 게임을 좀 더
 재미있게 해 볼까...","SPRAWIMY, ŻEBY BYŁO
BARDZIEJ INTERESUJĄCO...","VAMOS FAZER ISTO UM POUCO
MAIS INTERESSANTE...","ДАВАЙ-КА СДЕЛАЕМ 
ИГРУ ПОИНТЕРЕСНЕЙ...","HADİ BUNU BİRAZ
DAHA ILGINÇ HALE GETİRELİM...","ЧАС ЗРОБИТИ 
ГРУ ЦІКАВІШОЮ...","我们来玩更
刺激的吧……","我們來玩更
刺激的吧......"
HANDSAW,SERRA DE MÃO,HANDSÄGE,KÄSISAAG,HAND SAW,SIERRA DE MANO,SIERRA DE MANO,SCIE À MAIN,SEGA,ノコギリ,쇠톱,PIŁA RĘCZNA,SERRA DE MÃO,НОЖОВКА,EL TESTERESİ,НОЖІВКА,手锯,手鋸
BLANKROUNDS,%s MUNIÇÕES DE FESTIM.,%s PLATZPATRONEN.,%s TÜHJA.,%s BLANKS.,%s BALAS DE FOGUEO.,%s BALAS DE FOGUEO.,%s CARTOUCHE INERTES.,%s PROIETTILI A SALVE.,　空包 %s 発,%s 공포탄이야.,%s ŚLEPE NABOJE.,%s MUNIÇÕES SEM BALA,%s ХОЛОСТЫХ.,%s BOŞLUKLAR.,%s ХОЛОСТИХ.,%s 空包弹,%s 空包彈
ADRENALINE,ADRENALINA,ADRENALIN,ADRENALIIN,ADRENALINE,ADRENALINA,ADRENALINA,ADRÉNALINE,ADRENALINA,アドレナリン,아드레날린,ADRENALINA,ADRENALINA,АДРЕНАЛИН,ADRENALİN,АДРЕНАЛІН,肾上腺素,腎上腺素
INVERTER DESC,"TROCA O TIPO DE MUNIÇÃO DO
CARTUCHO ATUAL NA CÂMARA DA ARMA.",TAUSCHT DIE AKTUELLE PATRONE IN DER KAMMER ZU SCHARFER MUNITION BZW. ZU EINER PLATZPATRONE. ,"VAHETAB KESTAHEITEAVAS OLEVA 
PADRUNI POLAARSUST.","SWAPS THE POLARITY OF THE
CURRENT SHELL IN THE CHAMBER.","CAMBIA LA POLARIDAD DEL
CARTUCHO QUE HAY EN LA RECÁMARA.",CAMBIA EL CARTUCHO DE LA RECÁMARA POR SU INVERSO,"CHANGE LE TYPE DE CARTOUCHE
DANS LA CHAMBRE.","SCAMBIA IL TIPO DI PROIETTILE
PRESENTE IN CANNA.",薬室の弾の性質を反転,"약실에 장전된 탄의
 극성을 변경합니다.","ZAMIENIA RODZAJ
NABOJU W KOMORZE.","TROCA A POLARIDADE DO
CARTUCHO ATUAL NA CÂMARA DA ARMA.","МЕНЯЕТ ТЕКУЩИЙ ПАТРОН В ПАТРОННИКЕ
НА ПРОТИВОПОЛОЖНЫЙ.",MEVCUT ŞARJÖR İÇİNDEKİ FİŞEĞİN DURUMUNU DEĞİŞTİRİR.,"ЗМІНЮЄ ПОТОЧНИЙ ПАТРОН У НАБІЙНИКУ
НА ПРОТИЛЕЖНИЙ.",切换弹膛内当前子弹为实弹或空包弹,切換彈膛內當前子彈為實彈或空包彈
COLORBLIND_MODE,MODO DALTÓNICO,KLEURENBLINDE MODUS,VÄRVIPIME REŽIIM,COLOR BLIND MODE,MODO DALTÓNICO,MODO DALTÓNICO,MODE DALTONIEN,MODALITÀ DALTONICA,色弱モード,색맹 모드,TRYB ŚLEPOTY BARW,MODO DALTÓNICO,РЕЖИМ ДАЛЬТОНИКА,RENK KÖRÜ MODU,РЕЖИМ ДАЛЬТОНІКА,色盲模式,色盲模式
HANDCUFFS,ALGEMAS,HANDSCHELLEN,KÄERAUAD,HANDCUFFS,ESPOSAS,ESPOSAS,MENOTTES,MANETTE,手錠,수갑,KAJDANKI,ALGEMAS,НАРУЧНИКИ,KELEPÇELER,НАРУЧНИКИ,手铐,手銬
CIGARETTE DESC,"DÁ UMA ACALMADA.
RECUPERA 1 CARGA.","NIMMT DIE SCHÄRFE.
ERHALTE 1 LADUNG ZURÜCK.","LEEVENDAB STRESSI.
TAASTAD 1 SÄRTSU.","TAKES THE EDGE OFF.
REGAIN 1 CHARGE.","TE CALMA UN POCO.
RECUPERAS 1 CARGA.","TE CALMA UN POCO.
RECUPERAS 1 CARGA.","VOUS APAISE UN PEU.
VOUS RÉCUPÉREZ 1 CHARGE.","PLACA L'AGITAZIONE.
RIOTTIENI 1 CARICA.","一服
ライフ 1 回復","긴장을 풀어줍니다.
 차지를 1 획득합니다.",TROCHĘ CIĘ ODPRĘŻA. ODZYSKUJESZ 1 POZIOM ZDROWIA.,"RELAXA.
RECUPERA 1 CARGA.","СНИМИТЕ СТРЕСС.
ВОЗВРАЩАЕТ 1 РАЗРЯД.","GERGİNLİĞİ ALIR.
YENİDEN 1 DOLUM.","ЗНІМАЮТЬ СТРЕС.
ПОВЕРТАЮТЬ 1 ЗАРЯД.","消除压力
 恢复 1 点生命值","消除壓力
 恢復 1 點生命值"
SPANISH_LATIN AMERICA,ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA)
BACK,VOLTAR,ZURÜCK,TAGASI,BACK,ATRÁS,ATRÁS,RETOUR,INDIETRO,戻る,뒤로,WSTECZ,VOLTAR,НАЗАД,GERİ,НАЗАД,返回,返回
BEER DESC,"PUXA O CARREGADOR DA ESPINGARDA.
EJETA O CARTUCHO ATUAL.","LÄDT DIE SCHROTFLINTE.
WIRFT DIE AKTUELLE PATRONE AUS.","VINNASTAB PÜSSI.
EEMALDAB PRAEGUSE PADRUNI.","RACKS THE SHOTGUN.
EJECTS CURRENT SHELL.","CARGA LA ESCOPETA.
EXPULSA EL CARTUCHO EN LA RECÁMARA.","TIRA DEL GUARDAMANOS DE LA ESCOPETA.
EXPULSA EL CARTUCHO EN LA RECÁMARA.","DÉCHARGE LE FUSIL.
ÉJECTE LA CARTOUCHE ACTUELLE.","TIRA LA MANIGLIA DEL FUCILE
ED ESPELLI IL PROIETTILE IN CANNA.",薬室の弾を排莢,"약실을 열어
 장전된 탄을 배출합니다.","PRZEŁADOWUJE STRZELBĘ.
WYRZUCA ZAŁADOWANY NABÓJ.","PUXA O CARREGADOR DA ESPINGARDA.
EJETA O CARTUCHO ATUAL.","ПЕРЕДЕРНИТЕ ЗАТВОР.
ИЗВЛЕКАЕТ ТЕКУЩИЙ ПАТРОН.","TÜFEĞI HAZIRLAR.
MEVCUT FİŞEĞİ ÇIKARTIR.","НАТЯГНІТЬ ЗАТВОР, ЩОБ 
ВИТЯГНУТИ ПОТОЧНИЙ ПАТРОН.","弹出霰弹枪膛内
当前的子弹","彈出霰彈槍膛內
當前的子彈 "
CONSUME,TOMAR COMPRIMIDOS?,PILLEN KONSUMIEREN?,NEELA ALLA?,CONSUME PILLS?,¿QUIERES TOMAR LAS PASTILLAS?,¿QUIERES TOMAR LAS PASTILLAS?,PRENDRE LES CACHETS ?,VUOI INGERIRE LE PILLOLE?,薬を服用？,알약을 먹을까요?,ŁYKASZ PIGUŁKI?,TOMAR COMPRIMIDOS?,ВЫПИТЬ ТАБЛЕТКИ?,HAPLARI ALMAK MI?,ПРИЙНЯТИ ПІГУЛКИ?,是否吃药？,是否吃藥？
PRESS ANY KEY,PRESSIONE QUALQUER BOTÃO PARA SAIR,DRÜCKE EINE BELIEBIGE TASTE ZUM VERLASSEN,"VAJUTA MISTAHES NUPPU, ET LAHKUDA",PRESS ANY BUTTON TO EXIT,PRESIONA CUALQUIER BOTÓN PARA SALIR,PULSA CUALQUIER BOTÓN PARA SALIR,APPUYER SUR UNE TOUCHE POUR QUITTER,PREMI QUALSIASI TASTO PER USCIRE,ボタン押下で退出,아무 버튼이나 눌러 시작,"NACIŚNIJ DOWOLNY PRZYCISK, ABY WYJŚĆ",PRESSIONE QUALQUER BOTÃO PARA SAIR,"НАЖМИТЕ ЛЮБУЮ КНОПКУ, ЧТОБЫ ВЫЙТИ",ÇIKMAK IÇIN HERHANGİ BİR TUŞA BASIN,"НАТИСНІТЬ БУДЬ-ЯКУ КЛАВІШУ, ЩОБ ВИЙТИ",按任意按钮退出,按任意按鈕退出
RETRY,"É MELHOR EU NÃO
NUNCA MAIS TE VER.","ICH WILL DICH NICHT
WIEDERSEHEN.",UUESTI,RETRY,VOLVER A INTENTAR,"SERÁ MEJOR QUE
NO VUELVA A VERTE.","MIEUX VAUT QUE JE
NE TE REVOIE PAS","È MEGLIO SE
NON TI FAI PIÙ VEDERE.",再挑戦,"이제 됐어
 다음에 보자고.","NIE CHCĘ CIĘ TU
WIĘCEJ WIDZIEĆ.",TENTAR NOVAMENTE,ЕЩЕ РАЗ,"YAPMASAM İYİ OLUR
TEKRAR GÖRÜŞMEK ÜZERE.",ЩЕ РАЗ,"最好不要让我
再见到你","最好不要讓我
再見到你"
OPTIONS LANGUAGE,IDIOMA,SPRACHE,VALI KEEL,LANGUAGE,IDIOMA,IDIOMA,LANGUE,LINGUA,言語,언어,JĘZYK,IDIOMA,ЯЗЫК,DİL,МОВА,语言,語言
YES,SIM,JA,JAH,YES,SÍ,SÍ,OUI,SÌ,はい,네,TAK,SIM,ДА,EVET,ТАК,是,是
RESTART,REINICIAR,NEUSTART,ALUSTA UUESTI,RESTART,VOLVER A EMPEZAR,VOLVER A EMPEZAR,REDÉMARRER,RICOMINCIA,やり直し,다시 시작,PONOWNY START,REINICIAR,ЗАНОВО,YENİDEN BAŞLA,ЗАНОВО,重新开始,重新開始
BLANKROUND,%s MUNIÇÃO DE FESTIM.,%s PLATZPATRONE.,%s TÜHI.,%s BLANK.,%s BALA DE FOGUEO.,%s BALA DE FOGUEO.,%s CARTOUCHE INERTE.,%s PROIETTILE A SALVE.,　空包 %s 発,%s 공포탄이야.,%s ŚLEPY NABÓJ.,%s MUNIÇÃO SEM BALA,%s ХОЛОСТОЙ.,%s BOŞ.,%s ХОЛОСТИЙ.,%s 空包弹,%s 空包彈
DOUBLE,"O DOBRO OU
NADA?","DOPPEL ODER
NICHTS","TOPELT VÕI
MITTE MIDAGI?","DOUBLE OR
NOTHING?","¿DOBLE
O NADA?","¿DOBLE
O NADA?",QUITTE OU DOUBLE ?,"LASCI O
RADDOPPI?","ダブル・オア・
ナッシング？",더블 아니면 꽝?,"PODWÓJNA STAWKA
ALBO NIC?","DOBRO OU
NADA?","ВСЕ ИЛИ 
НИЧЕГО?","İKİ KATI MI 
YOKSA HİÇ Mİ?","УДВІЧІ БІЛЬШЕ
ЧИ НІЧОГО?","加倍还是
 放弃？","加倍還是
 放棄？"
MEDICINE DESC,"50% DE CHANCE DE RECUPERAR 2 CARGAS.
SE NÃO, PERDE 1 CARGA.","50 % CHANCE, 2 LADUNGEN WIEDERZUERLANGEN.
WENN NICHT, VERLIERST DU 1 LADUNG.","50% TÕENÄOSUS TAASTADA 2 SÄRTSU.
KUI MITTE, KAOTAD 1 SÄRTSU.","50% CHANCE TO REGAIN 2 CHARGES.
IF NOT, LOSE 1 CHARGE.","PROBABILIDAD DEL 50% DE RECUPERAR 2 CARGAS.
EN CASO CONTRARIO, PIERDES 1 CARGA.","PROBABILIDAD DEL 50% DE RECUPERAR 2 CARGAS.
EN CASO CONTRARIO, PIERDES 1 CARGA.","50 % DE CHANCES D'OBTENIR 2 CHARGES.
SINON, VOUS PERDEZ 1 CHARGE.","50% DI PROBABILITÀ DI RIOTTENERE 2 CARICHE.
ALTRIMENTI PERDI 1 CARICA.","50%でライフ 2 回復
50%でライフ 1 喪失","50% 확률로 차지를 2 회복합니다.
 약효가 없으면 차지를 1 잃습니다.","50% SZANS ODZYSKANIA 2 POZIOMÓW ZDROWIA.
W PRZECIWNYM WYPADKU UTRATA 1 POZIOMU ZDROWIA.","50% DE CHANCE DE RECUPERAR 2 CARGAS.
SE NÃO, PERDE 1 CARGA.","50% ВЕРОЯТНОСТЬ ВЕРНУТЬ 2 РАЗРЯДА
ИЛИ ЖЕ ПОТЕРЯТЬ 1 РАЗРЯД.","2 DOLUM KAZANMAK İÇİN %50 ŞANS.
KAZANAMAZSA, 1 DOLUM KAYBEDER.","ПОВЕРНІТЬ 2 ЗАРЯДИ З ЙМОВІРНІСТЮ 50%.
У РАЗІ НЕВДАЧІ ВИ ВТРАТИТЕ 1 ЗАРЯД.","有 50% 的几率恢复 2 点生命值
 否则将损失 1 点生命值","有 50% 的機率恢復 2 點生命值
 否則將損失 1 點生命值"
INVERTER,INVERSOR,UMKEHRER,INVERTER,INVERTER,INVERSOR,INVERSOR,ONDULEUR,INVERTITORE,インバータ,인버터,INWERTER,INVERSOR,ИНВЕРТОР,İNVERTÖR,ІНВЕРТОР,逆转器,逆轉器
MAX_FPS,MAX FPS,MAX FPS,MAX FPS,MAX FPS,MAX FPS,MAX FPS,MAX FPS,MAX FPS,最大FPS,최대 FPS,MAKSYMALNE FPS,MAX FPS,МАКСИМАЛЬНЫЙ FPS,MAKSİMUM FPS,МАКСИМАЛЬНИЙ FPS,最大FPS,最大FPS
UNLIMITED,ILIMITADO,UNBEGRENZT,PIIRANGUTA,UNLIMITED,ILIMITADO,ILIMITADO,ILLIMITÉ,ILLIMITATO,無制限,무제한,BEZ LIMITU,ILIMITADO,БЕЗЛИМИТНЫЙ,SIN SINIRLAR,БЕЗЛІМІТНИЙ,无限制,無限制
ENV_FILTER,FILTRO AMBIENTAL,UMWELTFILTER,KESKKONNAFILTER,ENVIRONMENT FILTER,FILTRO AMBIENTAL,FILTRO AMBIENTAL,FILTRE ENVIRONNEMENTAL,FILTRO AMBIENTALE,環境フィルター,환경 필터,FILTR ŚRODOWISKOWY,FILTRO AMBIENTAL,ЭКОЛОГИЧЕСКИЙ ФИЛЬТР,ÇEVRE FILTRESI,ЕКОЛОГІЧНИЙ ФІЛЬТР,环境滤镜,環境濾鏡
LOW_PERF_MODE,BAIXO DESEMPENHO,GERINGE LEISTUNG,ALUSE PERFORMANTS,LOW PERFORMANCE MODE,MODO BAJO RENDIMIENTO,MODO BAJO RENDIMIENTO,MODE BASSE PERFORMANCE,MODALITÀ BASSA PRESTAZIONE,低性能モード,저성능 모드,NISKA WYDAJNOŚĆ,MODO BAIXO DESEMPENHO,РЕЖИМ НИЗКОЙ ПРОИЗВОДИТЕЛЬНОСТИ,DÜŞÜK PERFORMANS MODU,РЕЖИМ НИЗЬКОЇ ПРОДУКТИВНОСТІ,低性能模式,低性能模式
VERY_LOW_PERF_MODE,MUITO BAIXO DESEMPENHO,SEHR GERINGE LEISTUNG,ERITISED PERFORMANTS,MUITO BAIXA PERFORMANCE,MODO MUITO BAIXO RENDIMENTO,MODO MUITO BAIXO RENDIMENTO,MODE TRÈS FAIBLE PERFORMANCE,MODALITÀ BASSISSIMA PRESTAZIONE,非常低性能モード,매우 저성능 모드,NISKA WYDAJNOŚĆ,MUITO BAIXO DESEMPENHO,ОЧЕНЬ НИЗКАЯ ПРОИЗВОДИТЕЛЬНОСТЬ,DÜŞÜK PERFORMANS MODU,ДУЖЕ НИЗЬКА ПРОДУКТИВНІСТЬ,超低性能模式,超低性能模式
MATCH_FIXING,Manipulação de apostas,Spielmanipulation,Kihlveti manipuleerimine,Match-fixing,Manipulación de apuestas (LATAM),Manipulación de apuestas,Trucage de match,Manipolazione delle scommesse,八百長,승부 조작,Manipulowanie zakładów,Manipulação de apostas,Договорной матч,Şike maçı,Договірний матч,操纵赌局,操縱賭局
REMOVE,Remover,Entfernen,Eemaldama,Remove,Quitar (LATAM),Eliminar,Supprimer,Rimuovere,削除,제거하다,Usuń,Remover,Удалить,Kaldırmak,Видалити,移除,移除
NEW,Novo,Neu,Uus,New,Nuevo (LATAM),Nuevo,Nouveau,Nuovo,新規,새로운,Nowy,Novo,Новый,Yeni,Новий,新建,新建
INPUT_GAMBLING_NAME,Inserir nome de aposta,Spielname eingeben,Sisesta hasartmängu nimi,Enter gambling name,Ingresar nombre de apuesta (LATAM),Introducir nombre de apuesta,Entrer le nom du pari,Inserisci nome scommessa,賭けの名前を入力,도박 이름 입력,Wprowadź nazwę zakładu,Inserir nome de aposta,Введите название ставки,Bahis adı girin,Введіть назву ставки,输入赌局名称,輸入賭局名稱
CONFIRM_REMOVE_GAMBLING,Remover o jogo de azar?,Glücksspiel entfernen?,Hasartmängu eemaldada?,Remove gambling?,¿Eliminar juego de azar? (LATAM),¿Eliminar juego de azar?,Supprimer le jeu d'argent?,Rimuovere il gioco d'azzardo?,賭博を削除しますか？,도박을 제거할까요?,Usunąć grę hazardową?,Remover jogo de azar?,Удалить азартную игру?,Kumarı kaldırmak?,Видалити азартну гру?,是否移除赌局?,是否移除賭局?
EDIT,Editar,Bearbeiten,Redigeerima,Edit,Editar (LATAM),Editar,Éditer,Modifica,編集,편집,Edytuj,Editar,Редактировать,Düzenle,Редагувати,编辑,編輯